NAME 		VLAN	SWITCHPORT	IP ADDRESS


HQ - onprem.local 

HYV-01		- VL10 	- Fa0/02	- 10.10.10.198
HYV-02 		- VL10 	- Fa0/03	- 10.10.10.199

DC-01		- VL20	- Fa0/04	- 10.10.20.200
DC-02		- VL20	- Fa0/05	- 10.10.20.201
EXC-01		- VL20	- Fa0/06	- 10.10.20.205
EXC-02		- VL20	- Fa0/07	- 10.10.20.206
  
FILE-01		- VL20	- Fa0/15	- 10.10.20.215
FILE-02		- VL20 	- Fa0/14	- 10.10.20.214
TS-01		- VL20	- Fa0/10	- 10.10.20.219
TS-02		- VL20 	- Fa0/09	- 10.10.20.220
PRT-01 		- VL20	- Fa0/08	- 10.10.20.225

WEB-01		- VL20	- Fa0/13	- 10.10.20.230
WEB-02		- VL20	- Fa0/12	- 10.10.20.231
PRX-01		- VL20	- Fa0/11	- 10.10.20.235

BKP-01		- VL30	- Fa0/16	- 10.10.30.210

MGMT-01		- VL40	- Fa0/17	- 10.10.40.237

PC-01 		- VL50	- Fa0/20 	- DHCP *.50 - .*150
PC-02 		- VL50	- Fa0/21	- DHCP *.50 - .*150
PC-03 		- VL50	- Fa0/22	- DHCP *.50 - .*150
PRINT-01 	- VL50	- Fa0/23	- DHCP *.50 - .*150
PRINT-02 	- VL50 	- Fa0/24	- DHCP *.50 - .*150


BRANCH - onprem.local 

PC-04		- VL50	- Fa0/05	- DHCP *.50 - .*150
PC-05		- VL50	- Fa0/06	- DHCP *.50 - .*150
PC-06		- VL50	- Fa0/07	- DHCP *.50 - .*150
PC-07		- VL50	- Fa0/08	- DHCP *.50 - .*150
PC-08		- VL50	- Fa0/09	- DHCP *.50 - .*150
PC-09		- VL50	- Fa0/10	- DHCP *.50 - .*150
PC-10		- VL50	- Fa0/11	- DHCP *.50 - .*150
PC-11		- VL50	- Fa0/12	- DHCP *.50 - .*150
 
PRINT-03	- VL50	- Fa0/15	- DHCP *.50 - .*150
PRINT-04	- VL50	- Fa0/16	- DHCP *.50 - .*150
PRINT-05	- VL50	- Fa0/17	- DHCP *.50 - .*150
PRINT-06	- VL50	- Fa0/18	- DHCP *.50 - .*150
PRINT-07	- VL50	- Fa0/19	- DHCP *.50 - .*150
PRINT-08	- VL50	- Fa0/20	- DHCP *.50 - .*150
PRINT-09	- VL50	- Fa0/21	- DHCP *.50 - .*150
PRINT-10	- VL50	- Fa0/22	- DHCP *.50 - .*150

BKP-02		- VL30 	- Fa0/24	- 10.20.30.210

TS-03		- VL20	- Fa0/01	- 10.20.20.219
TS-04		- VL20	- Fa0/02	- 10.20.20.220
